2,167,773
2,013,512
2,088,532
1,704,203
2,173,207
2,116,296
2,229,585
2,067,204
2,103,974
2,162,781
2,048,574
2,148,821
2,315,112
2,040,114
2,143,016
2,031,857
2,294,170
1,610,780
3,602,715
2,719,775
3,241,411
2,995,134
3,570,683
3,424,069
4,067,222
3,110,461
2,941,629
3,444,715
3,763,050
4,285,540
2,992,342
2,890,875
3,094,936
2,998,226
3,474,868
4,407,194
4,131,312
2,918,393
7,893,674
13,918,578
2,926,234
3,484,828
4,086,569
3,553,977
3,829,661
3,221,125
3,590,519
4,147,468
4,176,389
3,507,559
4,257,831
3,297,464
3,746,400
3,747,188
4,134,373
4,298,286
4,018,451
3,337,501
3,735,559
3,567,812
3,503,003
3,802,732
3,679,199
3,013,280
3,633,998
4,253,357
3,812,633
3,096,132
3,018,970
3,603,725
3,652,516
3,485,456
2,852,683
4,065,131
3,413,972
3,838,348
5,038,685
3,200,746
3,546,955
2,844,809
3,338,263
3,940,410
2,312,943
3,142,092
2,807,962
3,712,477
2,714,860
2,495,890
2,659,382
2,634,369
2,352,790
2,848,518
2,331,326
3,036,055
2,381,887
3,130,479
2,378,533
2,978,862
8,366,010
12,814,485
7,520,423
2,342,991
2,295,926
2,864,823
2,530,658
3,310,164
2,991,156
3,250,932
3,542,901
2,449,971
2,250,880
3,089,059
2,603,458
3,355,161
3,255,077
2,374,304
3,047,005
3,470,234
2,509,523
3,128,679
2,577,232
2,238,375
3,129,804
3,822,838
2,427,158
2,810,821
2,450,658
2,600,606
2,326,717
2,440,942
2,747,454
2,597,301
3,184,672
2,561,833
2,650,425
2,724,264
2,578,469
2,564,425
2,075,314
3,128,033
2,377,831
2,497,809
2,566,105
2,968,510
2,635,784
2,707,429
2,273,387
2,506,154
3,398,174
3,231,175
2,482,747
2,559,490
3,556,977
3,274,742
3,244,604
2,937,936
2,738,410
2,697,636
2,813,024
13,908,422
11,223,061
3,434,964
2,533,490
2,786,588
3,513,390
2,461,238
3,089,696
4,023,280
2,251,203
3,167,059
3,443,477
2,296,603
2,951,863
3,079,078
2,155,058
2,724,664
2,367,559
2,289,617
2,445,738
2,683,247
2,720,065
2,709,767
3,480,218
3,046,906
3,410,949
3,148,585
2,374,949
2,928,655
2,561,392
2,815,089
2,983,316
3,137,765
2,877,162
2,481,673
2,605,189
3,607,840
2,504,536
2,562,351
3,512,244
2,299,502
2,741,619
2,607,569
2,744,098
2,867,663
2,846,362
3,200,031
2,692,805
3,011,923
2,992,723
2,730,598
2,651,362
3,541,858
2,916,505
2,973,442
2,616,242
2,460,271
2,177,674
2,523,875
8,294,186
13,423,103
7,712,015
2,479,563
2,511,582
2,466,775
2,408,813
3,207,579
3,363,478
2,901,915
3,116,516
2,776,596
2,538,722
3,962,720
3,402,094
3,179,543
3,346,781
3,438,068
2,643,486
2,993,668
2,063,410
2,781,903
3,338,733
3,126,058
3,482,264
2,282,972
2,325,453
