1,715,002
1,655,304
3,625,640
2,811,018
3,540,634
2,945,575
3,542,533
3,735,568
3,901,649
3,144,361
3,015,035
3,487,053
4,246,201
3,583,376
2,909,212
3,051,098
2,920,433
3,228,540
4,075,201
4,316,270
3,527,550
3,484,937
14,176,415
8,021,563
3,016,637
3,843,442
4,046,638
3,264,716
3,199,947
3,286,194
4,132,965
4,017,904
3,623,493
4,165,000
3,615,457
3,060,871
4,143,627
3,907,686
4,057,821
4,176,193
3,603,032
2,983,048
4,086,195
3,105,934
3,719,917
3,717,953
3,198,299
2,946,528
4,274,899
4,151,605
3,534,752
3,034,085
3,354,246
3,458,252
3,689,336
3,118,359
3,349,248
3,753,694
3,840,576
3,820,509
5,155,183
3,173,921
3,085,852
2,906,453
3,938,976
3,549,828
1,110,660
3,236,539
3,757,090
2,647,606
2,536,578
2,672,861
2,546,379
2,516,289
2,699,636
2,520,153
2,236,081
3,258,497
2,193,071
3,063,560
2,769,678
3,080,727
12,056,820
13,207,315
2,232,640
2,237,457
2,955,259
2,221,205
3,327,340
3,560,229
2,471,051
3,520,943
3,590,402
2,280,452
2,304,837
3,380,593
2,775,281
3,368,350
3,152,431
2,729,035
2,985,048
3,340,315
2,749,646
2,793,258
2,456,241
2,692,266
3,598,591
3,637,898
2,304,981
2,971,061
2,466,879
2,480,712
2,457,621
2,592,847
2,630,796
2,695,277
3,508,578
2,795,591
2,318,181
2,858,689
2,705,174
2,183,135
2,380,004
2,871,831
2,454,590
2,757,069
2,507,511
3,334,835
2,351,318
2,555,674
2,537,654
2,419,542
3,086,267
3,461,399
2,380,802
2,724,467
4,096,572
2,468,866
3,194,004
3,121,488
2,333,688
2,636,880
6,903,351
11,976,232
7,554,706
2,751,563
2,488,960
3,221,097
3,523,617
2,578,804
3,336,560
3,421,438
2,570,375
3,656,928
2,912,741
2,599,009
3,077,705
2,257,752
2,763,936
2,620,945
2,304,119
2,398,971
2,452,787
2,701,876
3,043,316
2,617,733
3,704,484
3,197,993
3,404,175
2,816,847
2,640,138
2,729,032
2,652,070
2,821,928
3,285,009
2,495,891
2,684,760
2,626,831
3,009,758
2,931,265
2,679,216
2,242,664
3,277,475
2,630,227
2,630,027
2,366,906
3,315,316
2,206,532
3,659,176
2,905,494
2,483,169
2,806,443
3,558,869
2,335,022
3,121,774
3,448,260
3,012,798
2,588,646
2,695,693
2,185,326
2,306,171
2,576,105
12,842,877
12,172,870
3,255,296
2,475,302
2,328,287
2,607,494
3,109,889
2,888,541
3,655,418
2,650,710
3,302,363
2,693,943
3,146,873
3,978,221
3,084,647
3,677,453
3,071,196
2,957,156
2,332,874
2,964,332
2,103,826
3,245,562
3,619,626
2,420,546
3,074,248
2,349,416
2,300,098
2,185,228
2,541,883
1,996,714
2,137,361
2,941,339
2,044,811
2,087,793
2,482,423
2,330,817
1,852,583
2,549,658
2,810,140
2,834,862
2,414,041
2,208,135
2,352,982
